Team,Name,Line,Pavan,Peter,Neal,Prateek,Piku,Avinash,Logan,Yogen,Samarth,Vinayak
Atlanta Hawks,Hawks,47.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER
Boston Celtics,Celtics,46.5,OVER,UNDER,UNDER,OVER,OVER,OVER,UNDER,OVER,UNDER,UNDER
Brooklyn Nets,Nets,55.5,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,OVER,OVER,UNDER,UNDER
Charlotte Hornets,Hornets,38.5,UNDER,OVER,UNDER,UNDER,UNDER,OVER,OVER,OVER,UNDER,OVER
Chicago Bulls,Bulls,43.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER
Cleveland Cavaliers,Cavaliers,27.5,OVER,UNDER,UNDER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER
Dallas Mavericks,Mavericks,48.5,UNDER,UNDER,OVER,OVER,UNDER,UNDER,UNDER,UNDER,OVER,OVER
Denver Nuggets,Nuggets,47.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,UNDER
Detroit Pistons,Pistons,25.5,UNDER,OVER,UNDER,UNDER,OVER,OVER,UNDER,UNDER,UNDER,OVER
Golden State Warriors,Warriors,47.5,OVER,UNDER,OVER,OVER,UNDER,OVER,OVER,OVER,UNDER,OVER
Houston Rockets,Rockets,25.5,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER
Indiana Pacers,Pacers,42.5,OVER,OVER,OVER,UNDER,OVER,OVER,UNDER,UNDER,OVER,UNDER
Los Angeles Clippers,Clippers,45.5,UNDER,UNDER,UNDER,UNDER,OVER,UNDER,UNDER,UNDER,OVER,OVER
Los Angeles Lakers,Lakers,52.5,UNDER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER
Memphis Grizzlies,Grizzlies,41.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER
Miami Heat,Heat,48.5,OVER,OVER,OVER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER
Milwaukee Bucks,Bucks,54.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,UNDER
Minnesota Timberwolves,Timberwolves,35.5,OVER,UNDER,UNDER,OVER,OVER,UNDER,UNDER,UNDER,OVER,UNDER
New Orleans Pelicans,Pelicans,38.5,UNDER,UNDER,UNDER,UNDER,OVER,UNDER,UNDER,UNDER,OVER,UNDER
New York Knicks,Knicks,41.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER
Oklahoma City Thunder,Thunder,22.5,UNDER,UNDER,UNDER,OVER,UNDER,OVER,OVER,UNDER,UNDER,OVER
Orlando Magic,Magic,22.5,UNDER,OVER,UNDER,UNDER,OVER,OVER,UNDER,UNDER,OVER,OVER
Philadelphia 76ers,76ers,50.5,UNDER,UNDER,OVER,UNDER,OVER,OVER,OVER,UNDER,OVER,UNDER
Phoenix Suns,Suns,51.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,UNDER
Portland Trail Blazers,Trail Blazers,44.5,OVER,OVER,UNDER,OVER,OVER,OVER,UNDER,OVER,OVER,OVER
Sacramento Kings,Kings,36.5,UNDER,OVER,OVER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER
San Antonio Spurs,Spurs,29.5,OVER,OVER,UNDER,OVER,OVER,OVER,UNDER,OVER,OVER,OVER
Toronto Raptors,Raptors,36.5,OVER,UNDER,OVER,OVER,OVER,OVER,OVER,UNDER,OVER,OVER
Utah Jazz,Jazz,53.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER,OVER
Washington Wizards,Wizards,34.5,OVER,OVER,UNDER,UNDER,OVER,OVER,UNDER,UNDER,OVER,OVER
