Team,Name,Line,Season
Atlanta Hawks,Hawks,45.5,2023
Boston Celtics,Celtics,53.5,2023
Brooklyn Nets,Nets,50.5,2023
Charlotte Hornets,Hornets,35.5,2023
Chicago Bulls,Bulls,41.5,2023
Cleveland Cavaliers,Cavaliers,47.5,2023
Dallas Mavericks,Mavericks,48.5,2023
Denver Nuggets,Nuggets,49.5,2023
Detroit Pistons,Pistons,29.5,2023
Golden State Warriors,Warriors,51.5,2023
Houston Rockets,Rockets,23.5,2023
Indiana Pacers,Pacers,23.5,2023
Los Angeles Clippers,Clippers,52.5,2023
Los Angeles Lakers,Lakers,45.5,2023
Memphis Grizzlies,Grizzlies,48.5,2023
Miami Heat,Heat,48.5,2023
Milwaukee Bucks,Bucks,52.5,2023
Minnesota Timberwolves,Timberwolves,48.5,2023
New Orleans Pelicans,Pelicans,44.5,2023
New York Knicks,Knicks,38.5,2023
Oklahoma City Thunder,Thunder,23.5,2023
Orlando Magic,Magic,26.5,2023
Philadelphia 76ers,76ers,50.5,2023
Phoenix Suns,Suns,52.5,2023
Portland Trail Blazers,Trail Blazers,39.5,2023
Sacramento Kings,Kings,33.5,2023
San Antonio Spurs,Spurs,22.5,2023
Toronto Raptors,Raptors,45.5,2023
Utah Jazz,Jazz,24.5,2023
Washington Wizards,Wizards,35.5,2023
