Team,Win Total,Pavan,Logan,Peter,Samarth,Piku,Neal,Yogen,Avinash
Hawks,35.5,UNDER,OVER,UNDER,UNDER,UNDER,UNDER,OVER,UNDER
Celtics,49.5,UNDER,UNDER,OVER,UNDER,UNDER,OVER,UNDER,UNDER
Nets,44.5,UNDER,OVER,UNDER,UNDER,UNDER,OVER,UNDER,OVER
Hornets,23.5,OVER,UNDER,OVER,OVER,OVER,UNDER,UNDER,UNDER
Bulls,33.5,OVER,OVER,OVER,OVER,OVER,UNDER,UNDER,UNDER
Cavaliers,24.5,UNDER,UNDER,OVER,OVER,UNDER,UNDER,UNDER,UNDER
Mavericks,40.5,UNDER,OVER,OVER,OVER,OVER,OVER,OVER,UNDER
Nuggets,52.5,OVER,OVER,OVER,UNDER,OVER,OVER,UNDER,OVER
Pistons,37.5,OVER,OVER,OVER,UNDER,OVER,OVER,OVER,OVER
Warriors,48.5,UNDER,UNDER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER
Rockets,54.5,OVER,OVER,OVER,OVER,OVER,OVER,UNDER,UNDER
Pacers,47.5,UNDER,UNDER,OVER,UNDER,UNDER,OVER,UNDER,UNDER
Clippers,54.5,UNDER,OVER,OVER,UNDER,UNDER,OVER,OVER,OVER
Lakers,50.5,UNDER,UNDER,UNDER,UNDER,OVER,OVER,UNDER,OVER
Grizzlies,27.5,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,OVER
Heat,44.5,UNDER,OVER,UNDER,OVER,UNDER,UNDER,UNDER,OVER
Bucks,57.5,OVER,OVER,OVER,OVER,UNDER,UNDER,OVER,UNDER
Timberwolves,35.5,OVER,UNDER,OVER,OVER,OVER,UNDER,UNDER,UNDER
Pelicans,38.5,OVER,OVER,OVER,OVER,OVER,OVER,OVER,UNDER
Knicks,27.5,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER,UNDER
Thunder,31.5,OVER,OVER,OVER,OVER,OVER,OVER,UNDER,OVER
Magic,42.5,OVER,OVER,UNDER,OVER,OVER,UNDER,OVER,OVER
76ers,54.5,UNDER,OVER,UNDER,OVER,UNDER,UNDER,UNDER,UNDER
Suns,29.5,UNDER,UNDER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER
Trail Blazers,46.5,OVER,OVER,UNDER,OVER,OVER,OVER,OVER,OVER
Kings,38.5,OVER,UNDER,UNDER,UNDER,UNDER,OVER,UNDER,UNDER
Spurs,46.5,UNDER,UNDER,UNDER,OVER,UNDER,OVER,UNDER,UNDER
Raptors,46.5,OVER,UNDER,OVER,UNDER,UNDER,OVER,UNDER,OVER
Jazz,54.5,UNDER,UNDER,OVER,UNDER,UNDER,UNDER,UNDER,UNDER
Wizards,26.5,UNDER,UNDER,UNDER,UNDER,OVER,UNDER,UNDER,OVER
